"NAME",Len('),Wgt(lb),Fum,Brk#,Stren.,Speed,Min. Str.,WSC
Tiger Hook,3,5,5,6,70,3,4,SL
Trident,5,6,6,6,40w,5,6,PA
Two-handed Falchion,4,10,6,8,85,6,8 /22,2H
Two-handed Scimitar,4,6,5,7,70,4,2 /10,2H
Two-Handed Sword,5,10,5,8,75,5,6 /22,2H
Usriev,5,8,7,7,70,5,6,2H
Voulge,8,12,7,7,70w,6,4,PA
Wakazashi,2 ½,3,2,6,80,2,-2,SL
War Fan,1 ½,3,3,7,80,2,-2,CR
War Hammer,3,5,4,8,80w,4,0 /2,"CR, TH"
War Mattock,4,7,5,8,70w,5,6 /20,2H
Whip,8,4,8,4,70s,6,-2,CR
Woomera,2 ½,2,6,7,50w,6,-2,"TH, CR"
